video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=IYXjVY1pHVQ&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@taylorwynn,Taylor Wynn,moving into a Seattle loft! EMPTY APARTMENT TOUR,334K,3 years,Seattle loft empty apartment tour 2020! If you're new ➫ hit the & subscribe to follow along with the moving vlogs! I upload every ...,2024-01-26 21:39:40.290983
/watch?v=qM3NNMzX87M&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@SalaryTransparentStreet,Salary Transparent Street,"Salary Transparent Street Compilation | Seattle, WA📍",71K,1 year,"Seattle, WA  Salary Transparent Street ™️ The cost of living in Seattle, WA is 53% higher than the national average.",2024-01-26 21:39:40.294003
/watch?v=4wZfYRXnDNM&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@USHistorians,US Historians,Moving to Washington State - Best Places to Live in Washington State 2023,47K,11 months,"Hey there! Welcome to our video on the 8 best places to live in Washington state, the Evergreen State. Now, we know what you're ...",2024-01-26 21:39:40.297981
/watch?v=jN8zLWgWQRk&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@monicachurchrealtor,Monica Church Seattle Real Estate,Living in Seattle: 5 Reasons NOT to move here,67K,1 year,Happy new year! Let's start 2023 with some education on the natural disasters and hazards to watch out for in Seattle.,2024-01-26 21:39:40.302071
/watch?v=LHXgL1AADcs&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,31 Things You Should Know Before Moving To Seattle | The Ultimate Guide To Living In Seattle Metro,11K,1 year,"31 Things You Should Know Before Moving To Seattle | The Ultimate Guide To Living In Seattle Metro - In the video, I am talking ...",2024-01-26 21:39:40.306197
/watch?v=Xn6-FyVdjqA&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@worldwildhearts,World Wild Hearts,"SEATTLE, WA | 10 INCREDIBLE Things to Do in & Around Seattle",377K,1 year,"Seattle is located in the northwest of Washington and is the State's largest city. It's nicknamed the ""Emerald City"" because the ...",2024-01-26 21:39:40.313797
/watch?v=n12MkjKEJEg&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@RachelWaldorf,Rachel Waldorf,should you move to seattle in 2020 | why i moved to seattle,10K,3 years,Times are super weird and I've been getting so many questions on if someone should move here during this crazy time? Let me ...,2024-01-26 21:39:40.317646
/watch?v=jCZGlmEymqA&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@LIVINGINGREATERSEATTLE,LIVING IN GREATER SEATTLE WASHINGTON,Top Seattle Washington Neighborhoods 2023 | Moving To Seattle Washington | Seattle WA Real Estate,957,8 months,Are you thinking about moving to Seattle WA? Let's explore the Tope Seattle WA Neighborhoods 2023 today! Seattle WA Real ...,2024-01-26 21:39:40.321811
/watch?v=SGBWcoRJziw&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@livinginseattlewashington206,Living in Seattle Washington ,STRUGGLES OF RELOCATING TO SEATTLE WASHINGTON,566,3 months,"Hey there future Seattle residents! Thinking about relocating to the beautiful city of Seattle, Washington? Well, before you pack ...",2024-01-26 21:39:40.329169
/shorts/Y5Cm2EPhiyA,/@SalaryTransparentStreet,Salary Transparent Street,"#SoftwareEngineer in Seattle, WA📍",768K,1 year,"SoftwareEngineer in Seattle, WA  #salarytransparentstreet #salarytransparency #paytransparency #howmuchdoyoumake ...",2024-01-26 21:39:40.332555
/watch?v=xAYQFQzxBu0&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@KennedyKelly633,Kennedy Kelly,"seattle vlog | life in Seattle, first day in my new apartment, getting adjusted",2.4K,1 year,heyyyyyy YT fam! hope you enjoy these couple days in my life that I filmed. It was such a blessing to be able to get adjusted ...,2024-01-26 21:39:40.335369
/watch?v=JY3dN1rAV1s&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@KellyLira,Kelly Lira,THE ULTIMATE SEATTLE TRAVEL GUIDE (40+ things to do + tips from a local!),581K,2 years,"The must-see Seattle spots; where to eat, drink, and shop; tips on getting here; and tips on getting around. I hope this helps you ...",2024-01-26 21:39:40.338463
/watch?v=iWNoEWen-rE&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@sidtilt,Sidney Tilton ,"MOVING VLOG- Orange County, CA to Seattle, WA",11K,1 year,"Jacob & I move out of Southern California to head back to Seattle, Washington for the football season! enjoy :) this was a fun one ...",2024-01-26 21:39:40.341669
/watch?v=uayI1t3oJFE&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@DecagonTV,Decagon TV,10 Reasons You Should Move to Seattle (2018),2K,5 years,"From music to coffee to business, Seattle has it all. And it's better than San Francisco. The Pacific Northwest is more progressive, ...",2024-01-26 21:39:40.348355
/watch?v=cwcsKxnJeEE&pp=ygUPbW92ZSB0byBzZWF0dGxl,/@SharingtheRoad,Sharing the Road,How To Get Around Seattle | Cheap Public Transport 101,79K,1 year,Today we're talking about how to get around Seattle for cheap. We'll be discussing the best public transportation in the city to ...,2024-01-26 21:39:40.351552
